Graph File,Número de Vértices,Número de Arestas,Tempo Dijkstra (ms),Desvio Dijkstra (ms),Tempo BMSPP (ms),Desvio BMSPP (ms),Ratio BMSPP / Dijkstra
random128D3.gr,128,384,0.005,0.003,0.127,0.011,25.400
random256D3.gr,256,768,0.014,0.004,0.136,0.008,9.714
random512D3.gr,512,1536,0.038,0.004,0.227,0.012,5.974
random1024D3.gr,1024,3072,0.087,0.005,0.504,0.089,5.793
random2048D3.gr,2048,6144,0.214,0.020,0.880,0.025,4.112
random4096D3.gr,4096,12288,0.432,0.029,1.818,0.030,4.208
random8192D3.gr,8192,24576,1.039,0.045,3.722,0.091,3.582
random16384D3.gr,16384,49152,2.308,0.246,6.875,0.225,2.979
random32768D3.gr,32768,98304,4.675,0.113,16.356,0.558,3.499
random65536D3.gr,65536,196608,10.738,0.199,38.156,0.801,3.553
random131072D3.gr,131072,393216,29.175,1.932,81.830,1.353,2.805
random262144D3.gr,262144,786432,73.481,0.609,208.062,0.969,2.832
random524288D3.gr,524288,1572864,177.561,2.665,564.448,1.586,3.179
random1048576D3.gr,1048576,3145728,421.216,1.434,1286.205,1.306,3.054
random2097152D3.gr,2097152,6291456,939.767,5.953,2993.859,9.313,3.186
random4194304D3.gr,4194304,12582912,2022.890,4.511,7702.933,44.385,3.808
random8388608D3.gr,8388608,25165824,4437.921,6.786,14808.467,15.531,3.337
random16777216D3.gr,16777216,50331648,9899.507,23.569,32367.954,118.261,3.270
random33554432D3.gr,33554432,100663296,21812.125,13.479,82592.131,48.540,3.787
random67108864D3.gr,67108864,201326592,48063.661,101.625,,,
random134217728D3.gr,134217728,402653184,109375.664,160.355,,,
random268435456D3.gr,268435456,805306368,1290.031,65.263,,,
