n,m,Graph File,Mem bmssp-expected (MB),Mem bmssp-wc (MB),Ratio bmssp-expected / bmssp-wc
8,24,random8D3.gr,2.640625,2.64,1.0
16,48,random16D3.gr,2.640625,2.64,1.0
32,96,random32D3.gr,2.65234375,2.65,1.0
64,192,random64D3.gr,2.640625,2.64,1.0
128,384,random128D3.gr,2.640625,3.93,0.6719681908548708
256,768,random256D3.gr,3.921875,3.79,1.0361197110423117
512,1536,random512D3.gr,3.96484375,4.13,0.9593572778827977
1024,3072,random1024D3.gr,4.11328125,4.38,0.9385026737967914
2048,6144,random2048D3.gr,4.72265625,4.85,0.9742143432715552
4096,12288,random4096D3.gr,5.24609375,6.38,0.8219094247246022
8192,24576,random8192D3.gr,6.88671875,8.68,0.7937865826204412
16384,49152,random16384D3.gr,9.18359375,12.97,0.7079193014152364
32768,98304,random32768D3.gr,16.26953125,23.17,0.7022424548979936
65536,196608,random65536D3.gr,25.1640625,41.30,0.6092878085689964
131072,393216,random131072D3.gr,42.484375,77.31,0.5495427214390379
262144,786432,random262144D3.gr,76.046875,150.93,0.5038432671652993
524288,1572864,random524288D3.gr,160.54296875,297.89,0.5389325990034094
1048576,3145728,random1048576D3.gr,300.640625,592.20,0.5076714027519426
2097152,6291456,random2097152D3.gr,565.57421875,1180.71,0.4790115859750812
4194304,12582912,random4194304D3.gr,1096.59375,2725.34,0.4023701206559971
8388608,25165824,random8388608D3.gr,2215.5390625,4711.02,0.4702886599818743
16777216,50331648,random16777216D3.gr,4385.38671875,9418.24,0.4656268793523208
33554432,100663296,random33554432D3.gr,8722.2578125,21776.84,0.40052901663033696
67108864,201326592,random67108864D3.gr,23475.43359375,N/A,
